otu_id	JZ017	JZ018	JZ019	JZ020	JZ021	JZ022	JZ023	JZ024	JZ025	JZ026	JZ027	JZ028	JZ029	JZ030	JZ031	JZ032	JZ033	JZ034	JZ035	JZ036	JZ037	JZ038	JZ039	JZ040	JZ041	JZ042	JZ043	JZ044	JZ045	JZ046	JZ047	JZ048	JZ049	JZ050	JZ051	JZ052	JZ053	JZ054	JZ055	JZ056	JZ057	JZ058	JZ059	JZ060	JZ061	JZ062	JZ063	JZ064	JZ065	JZ066	JZ067	JZ068	JZ069	JZ070	JZ071	JZ072	JZ073	JZ074	JZ075	JZ076	JZ077	JZ078	JZ079	JZ080	JZ081	JZ082	JZ083	JZ084	JZ085	JZ086	JZ087	JZ088	JZ089	JZ090	JZ091	JZ092	JZ093	JZ094	JZ095	JZ096	JZ097	JZ098	JZ099	JZ100	JZ101	JZ102	JZ103	JZ104	JZ105	JZ106	JZ107	JZ108	JZ109	JZ110	JZ111	JZ112	JZ113	JZ114	JZ115	JZ116	JZ117
OTU32	0	0	0	0	10	5	0	3	8	2	2	2	1	1	3	2	2	2	1	6313	2	1278	4	1	4	157	4	21814	5	5	8	0	0	1	3	3	1	2	0	0	1	2	1	2	1	1	1	2	1	3	2	2	1	5	1	3	3	1	0	1	0	0	2	0	0	1	1	0	1	123	1	0	0	0	2	1	2	0	5	0	0	1	0	0	0	1	1092	101	0	9	3041	1	0	3	0	0	1	0	0	0	0
OTU33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	6	10	11	4	6	7	4	6	3	4	5	7	8	0	0	3	1	3	3	4	0	7	5	1	4	10	5	176	22704	7	13899	24	0	9	4
OTU34	0	1	0	2576	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	265	0	202	0	4	0	0	1	129	0	103	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	9	13	6	4	6	3	6	9	4	18	6	21	0	1	0	1	0	0	4	1	4	2	3	1	14	30990	11	6	33	10	13	4	7	4
OTU35	76	0	2	17	141	63	210	44	2	2	0	0	0	2	1	0	0	1	0	28	4	1	14	54	8	32	3	66	11	278	6	0	19	457	8	4	1	6	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	13	0	1	0	0	0	0	0	0	0	0	0	34	1	0	1	1	8	4	3	40	5	7	1	9	1	2	76	1	1	0	16	0	1	8	1453	45	115	216	1107	406	8	2	0	2
OTU36	0	0	0	0	5	4	2	1	3	3	0	1	0	1	2	4	3	0	1	51	1	9	5	1	1	17388	6	79	3	2	5	1	2	0	1	4	1	3	2	3	2	0	0	0	2	1	2	2	1	1	0	2	1	1	2	2	3	4	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	121	146	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU37	1	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	3	4	3	4	2	2	0	0	0	1	1	1	1	1	1	0	0	3	1486	317	3862	2	12	2	1	6	1	2
OTU38	1981	563	64	1	5	5	2	0	142	10	0	0	92	0	2	0	0	2	0	0	65	6	68	3	103	2	141	5	105	0	140	4656	479	906	1000	1771	854	254	107	38	27	18	32	4	12	19	21	119	196	88	11	104	2	14	7	241	275	665	67	531	487	0	2	2	1	0	0	1	1	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	8	1	17	63	37	0	0	0	0	0	1	18	0	0	0
OTU39	1	1	2	121	8	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	1	2	0	4	5	2	2	5	43	0	0	0	0	0	0	3	2	1	0	3	1	18	2044	1001	9	17	1145	9	0	0	1
OTU40	0	0	0	0	33	47	2	5	12	2	1	5	1	34	36	29	38	26	30	10	2296	27	19658	8	5051	6	1149	10	867	4	4293	7	10	0	1	3	1	7	6	5	11	5	6	2	5	2	2	7	1	3	4	3	3	7	3	2	4	2	7	6	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU41	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU42	63	1	9	29	22	62	46	37	96	1117	6162	2844	17	26	23	12	81	59	41	26	277	2062	43	1602	39	24	80	22	34	3382	1162	61	53	29	27	103	65	19	8	3	35	5	9	0	2	10	47	3	31	62	2	7	5	9	6	160	6	5	26	30	8	9	3865	24709	1485	6469	6739	15	15	18	10	7	20	175	144	352	173	100	79	7	2	5	14	16	2	34	107	60	4068	456	33	27	10	24	13	13	24	8	8	10	45
OTU43	0	0	0	169	69	91	4	2	9	0	1	2	2	16	29	8	25	27	18	16	2787	7	642	2	4678	4	3217	9	5716	7	3956	1	8	3	3	5	1	5	7	3	4	2	5	0	4	2	6	3	2	3	1	2	6	1	1	5	2	6	3	8	0	4	2	2	1	1	2	4	3	0	3	2	0	1065	5	2	109	15	6	1	1	1	0	0	2	2443	0	1	4	1	11	9	18	53	12	2383	25	5	0	2	1
OTU44	6	0	5	157	2	123	0	0	0	0	0	0	0	0	1	1	2	0	0	0	3	0	3	0	1	1	2	1	3	0	2	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	4	0	0	0	0	3	2	2	6	6	5	0	0	1	2	0	1	18	0	1	0	1	9	6	51	31	3	5256	6	3	1580	1	1
OTU45	3	1	2	6	1	6	0	1	6	0	0	1	0	0	0	1	1615	1	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	13	0	3	3	2	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	9	0	0	0	0
OTU46	73	0	630	2	19	11	2	5	13	0	7	1	1	64	8	2	2	17	9	21	7	12	14	12	32	6	23	54	26	20	127	58	30	28	63	978	65	803	3	1	4	55	63	1	2	8	1	2	1	0	1	5	9	1	7	10000	236	94	3	529	4	1	2	3	0	0	1	12	16	1	0	1	12	5	1	0	24	13	57	0	0	0	0	0	0	7	1	0	2	245	0	31	19	10	97	53	3	6	0	1	0
